Name,Twitter Handle
Aamir Khan,aamir_khan
Abhijeet Sawant,AapkaAbhijeet
Abhishek Bachchan,juniorbachchan
Aditi Rao Hydari,aditiraohydari
Aditya Roy Kapoor,AdityaRoyKapoor
Aftab Shivdasani,AftabShivdasani
Ajay Devgn,ajaydevgn
Ajaz Khan,AjazkhanActor
Akshay Kumar,akshaykumar
Ali Zafar,AliZafarsays
Alia Bhatt,aliaa08
Amitabh Bachchan,SrBachchan
Amrita Rao,AmritaRao
Amrita Arora,amuarora
Anil Kapoor,AnilKapoor
Anjana Sukhani,anjanasukhani
Anu Malik,The_AnuMalik
Anup Soni,Anupsonicp
Anupam Kher,AnupamPkher
Anurag Basu,basuanurag
Anushka Manchanda,IAmAnushka
Anushka Sharma,AnushkaSharma
Arbaaz Khan,arbaazSkhan
Archana Puran Singh,apshaha
Arjun Rampal,rampalarjun
A. R. Rahman,arrahman
Arshad Warsi,ArshadWarsi
Asha Bhosle,ashabhosle
Ashish Chowdhary,AshishChowdhry
Ashmit Patel,AshmitPatel
Ashwin Mushran,ashwinmushran
Atif Aslam,itsaadee
Atul Kulkarni,atul_kulkarni
Ayesha Takia Azmi,Ayeshatakia
Ayushmann Khurrana,ayushmannk
Bipasha Basu,bipsluvurself
Boman Irani,bomanirani
Bruna Abdullah,Bruabdullah
Chitrangada Singh,IChitrangda
Chunky Pandey,ChunkyThePanday
Celina Jaitly,CelinaJaitly
Cyrus Broacha,TheBakraMan
Dabboo,DabbooRatnani
Daler Mehndi,dalermehndi
Deepika Padukone,deepikapadukone
Dhanush,dhanushkraja
Dia Mirza,deespeak
Diana Penty,DianaPenty
Dibakar Banerjee,DibakarBanerjee
Dino Morea,DinoMorea9
Divya Dutta,divyadutta25
Ehsaan Noorani,EhsaanSEL
Emraan Hashmi,emraanhashmi
Farah Khan,TheFarahKhan
Fardeen Khan,khanff
Farhan Akhtar,FarOutAkhtar
Gauhar Khan,GAUAHAR_KHAN
Gaurav Kapur,gauravkapur
Genelia Deshmukh,geneliad
Goldie Behl,GOLDIEBEHL
Gul Panag,GulPanag
Gurmeet Choudhary,gurruchoudhary
Himesh Reshammiya,HimeshOfficial
Hritik Roshan,iHrithik
Huma Qureshi,humasqureshi
Isha Koppikar,eeshatweets
Jaaved Jaaferi,jaavedjaaferi
Jackie Shroff,Jackie_Shroff
Jacqueline Fernandez,Asli_Jacqueline
Javed Akhtar,Javedakhtarjadu
John Abraham,TheJohnAbraham
Juhi Chawla,iam_juhi
Kabir Bedi,iKabirBedi
Kabir Khan,kabirkhankk
Kailash Kher,Kailashkher
Kalki Koechlin,kalkikanmani
Kamaal R Khan,kamaalrkhan
Kangana Ranaut,kangna_ranaut
Kapil Sharma,KapilSharmaK9
Karan Johar,karanjohar
Karan Kundra,kkundra
Karan Wahi,karan009wahi
Kayoze Irani,kayoze
Ken Ghosh,kenghosh
Konkona Sen Sharma,konkonas
Kunal Kapoor,kapoorkkunal
Kunal Kohli,kunalkohli
Kushal Tandon,KushalT2803
Lara Dutta Bhupathi,LaraDutta
Lata Mangeshkar,mangeshkarlata
Lisa Haydon,HaydonLisa
Lisa Ray,Lisaraniray
Luv Sinha,LuvSinha
Madhur Bhandarkar,mbhandarkar268
Madhuri Dixit-Nene,MadhuriDixit
Mahesh Bhatt,MaheshNBhatt
Mallika Sherawat,MallikaLA
Mandira Bedi,mandybedi
Manish Malhotra,ManishMalhotra1
Manish Paul,ManishPaul03
Manoj Bajpayee,BajpayeeManoj
Mika Singh,MikaSingh
Milind Soman,milindrunning
Minissha Lamba,Minissha_Lamba
Mira Nair,MiraPagliNair
Mughda Godse,GodseMugdha
Mushtaq Sheikh,shiekhspear
Nandita Das,nanditadas
Nargis Fakhri,NargisFakhri
Neha Dhupia,NehaDhupia
Neil Nitin Mukesh,NeilNMukesh
Nikhil Chinapa,nikhilchinapa
Nikitin Dheer,nikitindheer
Omi Vaidya,OmiOneKenobe
Parineeti Chopra,ParineetiChopra
Payal Rohatgi,Payal_Rohatgi
Pooja Bhatt,PoojaB1972
Poonam Dhillon,poonamdhillon
Poonam Pandey,iPoonampandey
Prachi Desai,1Prachidesai
Prakash Raj,prakashraaj
Prateik Babbar,babbarprateik
Preity Zinta,realpreityzinta
Pritish Nandy,PritishNandy
Priyanka Chopra,priyankachopra
Pulkit Samrat,PulkitSamrat
Punit Malhotra,punitdmalhotra
Purab Kohli,Purab_Kohli
Rahul Bose,RahulBose1
